internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
78535891,Pristimantis almendariz,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,almendariz,,,,,"Brito-M. &amp; Pozo-Zamora, 2013",
18435577,Pristimantis andinognomus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,andinognomus,,,,,"Lehr &amp; Coloma, 2008",This is a species complex.
78537230,Pristimantis ardyae,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,ardyae,,,,,"Reyes-Puig, Reyes-Puig &amp; Yánez-Muñoz, 2013",
199851,Pristimantis bambu,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,bambu,,,,,"Arteaga-Navarro &amp; Guayasamin, 2011",
78538644,Pristimantis carlosceroni,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,carlosceroni,,,,,"Valencia, Bejarano-Muñoz &amp; Yánez-Muñoz, 2013",
56611,Pristimantis ganonotus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,ganonotus,,,,,"(Duellman &amp; Lynch, 1988)","It has not been included in phylogenies based on genetic traits, so its evolutionary relationships are still uncertain. It has not yet been assigned to any group of species."
78543191,Pristimantis gualacenio,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,gualacenio,,,,,"Urgilés, Sánchez-Nivicela, Nieves &amp; Yánez-Muñoz, 2014","Brito<em>&#160;et al.</em>&#160;(2017)&#160;provided records of&#160;<em>Pristimantis</em>&#160;aff.&#160;<em>gualacenio</em>&#160;from Tinguichaca, Sambalán and Cisnian, Morona Santiago."
88428894,Pristimantis kirklandi,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,kirklandi,,,,,"(Flores, 1985)",<em>Pristimantis kirklandi</em> has been revalidated and removed from synonymy of <em>Pristimantis incomptus </em>(Heinicke <em>et al.</em> 2007).
78544863,Pristimantis latericius,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,latericius,,,,,"Batallas-R. &amp; Brito-M., 2014",
78544874,Pristimantis loujosti,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,loujosti,,,,,"Yánez-Muñoz, Cisneros-Heredia &amp; Reyes-Puig, 2011",
78546587,Pristimantis lucidosignatus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,lucidosignatus,,,,,"Rödder &amp; Schmitz, 2009",
78546592,Pristimantis marcoreyesi,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,marcoreyesi,,,,,"Reyes-Puig, Reyes-Puig, Rámirez-Jaramillo, Pérez-L. &amp; Yánez-Munoz, 2015",
78548405,Pristimantis matidiktyo,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,matidiktyo,,,,,"Ortega-Andrade &amp; Valencia, 2012",
78548439,Pristimantis mazar,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,mazar,,,,,"Guayasamin &amp; Arteaga-Navarro, 2013",
78550281,Pristimantis mindo,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,mindo,,,,,"Arteaga-Navarro, Yáñez-Muñoz &amp; Guayasamin, 2013",
18434723,Pristimantis minimus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,minimus,,,,,"Terán-Valdez &amp; Guayasamin, 2010",
78550295,Pristimantis munozi,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,munozi,,,,,"Rojas-Runjaic, Delgado C. &amp; Guayasamin, 2014",There is some taxonomic confusion as this taxon&#160;may be synonym of&#160;<em>Pristimantis floridus&#160;</em>(M.&#160;Yánez-Muñóz&#160;pers. comm. 2021).
78550300,Pristimantis onorei,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,onorei,,,,,"Rödder &amp; Schmitz, 2009",
89183237,Pristimantis paquishae,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,paquishae,,,,,"Brito-M., Batallas-R., &amp; Velalcázar, 2014",
78550321,Pristimantis punzan,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,punzan,,,,,"Reyes-Puig, Reyes-Puig, Rámirez-Jaramillo, Pérez-L. &amp; Yánez-Munoz, 2015",
78550348,Pristimantis puruscafeum,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,puruscafeum,,,,,"Reyes-Puig, Reyes-Puig, Rámirez-Jaramillo, Pérez-L. &amp; Yánez-Munoz, 2015",
78552336,Pristimantis romanorum,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,romanorum,,,,,"Yánez-Muñoz, Meza-Ramos, Cisneros-Heredia &amp; Reyes-Puig, 2011",
78554333,Pristimantis roni,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,roni,,,,,"Yanez-Munoz, Bejarano-Munoz, Brito-M. &amp; Batallas-R., 2014",
78554351,Pristimantis rufoviridis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,rufoviridis,,,,,"Valencia, Yánez-Muñoz, Betancourt-Yépez, Terán-Valdez &amp; Guayasamin, 2011",
78554361,Pristimantis sirnigeli,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,sirnigeli,,,,,"Yánez-Muñoz, Meza-Ramos, Cisneros-Heredia &amp; Reyes-Puig, 2011",
78554424,Pristimantis tinajillas,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,tinajillas,,,,,"Urgilés, Sánchez-Nivicela, Nieves &amp; Yánez-Muñoz, 2014",
78554428,Pristimantis tungurahua,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,tungurahua,,,,,"Reyes-Puig, Yánez-Muñoz, Cisneros-Heredia &amp; Ramírez, 2011",
78554994,Pristimantis yumbo,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,yumbo,,,,,"Yánez-Muñoz, Meza-Ramos, Cisneros-Heredia &amp; Reyes-Puig, 2011",
187822,Gracixalus quyeti,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Gracixalus,quyeti,,,,,"(Nguyen, Hendrix, Böhme, Vu &amp; Ziegler, 2008)",
